RIDE_DATE,METRIC_FAMILY,METRIC_NAME,COUNTRY,CITY_BUCKET,RIDES_DENOM,RIDES_FLAGGED,PCT,COMPUTED_AT,AMOUNT_VALUE,AVG_VALUE
2026-08-27,DISCOUNT,pct_bound_total__ride_share,SA,Total,123064,3927,3.19,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,promised_not_applied,SA,Total,123064,34,0.03,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,promoeng_capped__absorption,SA,Total,1,1,-0.01,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,promoeng_capped__gross_shock,SA,Total,1591,634,39.85,2026-09-07 09:14:54.546 +0300,4113,6
2026-08-27,DISCOUNT,promoeng_capped__net_shock,SA,Total,1591,634,39.85,2026-09-07 09:14:54.546 +0300,4113,0
2026-08-27,DISCOUNT,promoeng_capped__ride_share,SA,Total,123064,1591,1.29,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,promoeng_pct_bound__absorption,SA,Total,1,1,13.68,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,promoeng_pct_bound__gross_shock,SA,Total,1874,687,36.66,2026-09-07 09:14:54.546 +0300,2983,4
2026-08-27,DISCOUNT,promoeng_pct_bound__net_shock,SA,Total,1874,678,36.18,2026-09-07 09:14:54.546 +0300,2575,0
2026-08-27,DISCOUNT,promoeng_pct_bound__ride_share,SA,Total,123064,1874,1.52,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,voucher_capped__absorption,SA,Total,1,1,-0.95,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,voucher_capped__gross_shock,SA,Total,2979,1092,36.66,2026-09-07 09:14:54.546 +0300,5558,5
2026-08-27,DISCOUNT,voucher_capped__net_shock,SA,Total,2979,1102,36.99,2026-09-07 09:14:54.546 +0300,5611,0
2026-08-27,DISCOUNT,voucher_capped__ride_share,SA,Total,123064,2979,2.42,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,voucher_pct_bound__absorption,SA,Total,1,1,11.28,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,voucher_pct_bound__gross_shock,SA,Total,2053,625,30.44,2026-09-07 09:14:54.546 +0300,2723,4
2026-08-27,DISCOUNT,voucher_pct_bound__net_shock,SA,Total,2053,631,30.74,2026-09-07 09:14:54.546 +0300,2416,0
2026-08-27,DISCOUNT,voucher_pct_bound__ride_share,SA,Total,123064,2053,1.67,2026-09-07 09:14:54.546 +0300,,
2026-08-27,GATE,gate1_promo_formula,SA,Total,20050,1,100.00,2026-09-07 09:14:54.546 +0300,100,2
2026-08-27,GATE,gate1_voucher_formula,SA,Total,4992,1,100.00,2026-09-07 09:14:54.546 +0300,100,
2026-08-27,GATE,gate2_net_fare_identity,SA,Total,123064,1,100.00,2026-09-07 09:14:54.546 +0300,,
2026-08-27,GATE,gate3_promo_config,SA,Total,3471,1,100.00,2026-09-07 09:14:54.546 +0300,5,10783
2026-08-27,GATE,gate4_priceshocks_reconciliation,SA,Total,123064,1,35.70,2026-09-07 09:14:54.546 +0300,,
