RIDEID,CREATED,UPFRONTSCENARIO,DROPOFFATDESTINATION,FINALRIDEFARE,RECALCULATEDDISTANCE,RECALCULATEDTIME,RECALCULATEDFARE,UPFRONTENABLED,APPLIEDESTIMATETIME,APPLIEDESTIMATEDISTANCE,APPLIEDESTIMATEFARE,TAXIMETERTIME,TAXIMETERDISTANCE,TAXIMETERFARE,ORIGINALESTIMATETIME,ORIGINALESTIMATEDISTANCE,ORIGINALESTIMATEFARE,CHARGINGDISTANCESOURCE,CHARGINGDISTANCE,CHARGINGTIMESOURCE,CHARGINGTIME,ADDITIONALTIMECOMP,TAXIMETERFORMULA,TAXIMETERCASE,CHARGINGFARE,ADDITIONALTIMEVALUE,TAXIMETERSTATE,FACTORFORADDITIONALTIME,SPEEDPARAMETERX,MAXSPEED,ESTIMATEDSPEED,ACTUALSPEED,ACTUALTIME,SCALEDDISTANCE,TIMETHRESHHOLDSALOWPERCENTAGE,TIMETHRESHHOLDSAHIGHPERCENTAGE,TIMETHRESHHOLDSALOWVALUE,TIMETHRESHHOLDSAHIGHVALUE,TIMETHRESHHOLDSBLOWPERCENTAGE,TIMETHRESHHOLDSBHIGHPERCENTAGE,TIMETHRESHHOLDSBLOWVALUE,TIMETHRESHHOLDSBHIGHVALUE,KALMANDISTANCE,APPLIEDFIXEDTIMETHRESHOLDAPPLIED,APPLIEDFIXEDTIMETHRESHOLDVALUE,FIXEDSPEEDCAP,MAXWITHINMINUTESVARIANCE
6a5140b9aba5ca1961ba1f26,2026-07-10 21:58:01.276,withinA,true,14.52,8.869,13.533333333,14.52,True,13.533333,8.869,14.52,13.116666667,7.0183,14.28,13.533333333,8.869,14.52,applied_estimate,8.869,applied_estimate,13.533333333,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,14.52,0,withinA,0.675,30,120,39.3204,32.10402,13.116666667,0.00,100,22,0,990,0,999999,812,8120803,0,FALSE,0,41,3
6a5018ffc737923ca9e91bca,2026-07-10 00:56:15.713,withinB,true,17.63,10.797845,14.666666667,17.63,True,14.666667,8.688,13.28,18.966666667,10.79785,17.31,14.666666667,8.688,13.28,taximeter_distance,10.797845,applied_estimate,14.666666667,4.3,"max(8.63,(0.994*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",speed_in_limit,17.63,2.9,withinB,0.675,30,120,35.5416,34.15838,18.966666667,0.00,100,22,0,1073,0,999999,880,8800871,0,FALSE,0,41,3
6a50f967c737923ca92c31ca,2026-07-10 16:53:43.435,withinA,true,19.99,15.311,16.633333333,19.99,True,16.633333,15.311,19.99,16.933333333,15.56919,21.49,16.633333333,15.311,19.99,applied_estimate,15.311,applied_estimate,16.633333333,0,"max(7.07,(1.08*(0.23*durationInMinute+0.82*distanceInKm+3.48)))",applied_estimate,19.99,0,withinA,0.675,30,120,55.23,55.16643,16.933333333,0.00,100,25,0,1247,0,999999,998,9980988,0,FALSE,0,47,3
6a4fab73b0e119efe86473ae,2026-07-09 17:08:51.014,withinA,true,34.5,22.903,40.133333333,34.5,True,40.133333,22.903,34.5,36.833333333,18.85526,33.15,40.133333333,22.903,34.5,applied_estimate,22.903,applied_estimate,40.133333333,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,34.5,0,withinA,0.675,30,120,34.2402,30.71445,36.833333333,0.00,100,22,0,2937,0,999999,2408,24082383,0,FALSE,0,41,3
6a4fc732b0e119efe88cd5d8,2026-07-09 19:07:14.496,withinA,false,39.91,27.756,37.983333333,39.91,True,37.983333,27.756,39.91,34.016666667,26.46561,32.95,29.45,31.67,41.6,applied_estimate,27.756,applied_estimate,37.983333333,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,39.91,0,withinA,0.675,30,120,43.8444,46.68114,34.016666667,0.00,100,22,0,2780,0,999999,2279,22792256,0,FALSE,0,41,3
6a4e7117326d320dd9f4b852,2026-07-08 18:47:34.776,withinA,true,40.83,30.035,39.266666667,40.83,True,39.266667,30.035,40.83,34.633333333,30.01685,44.16,39.266666667,30.035,40.83,applied_estimate,30.035,applied_estimate,39.266666667,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,40.83,0,withinA,0.675,30,120,45.894,52.00225,34.633333333,0.00,100,22,0,2874,0,999999,2356,23562332,0,FALSE,0,41,3
6a4ead42b96502554665bd8a,2026-07-08 23:04:17.988,withinA,true,25.1,15.176,26.05,25.1,True,26.05,15.176,25.1,25.55,12.65981,24.97,26.05,15.176,25.1,applied_estimate,15.176,applied_estimate,26.05,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,25.1,0,withinA,0.675,30,120,34.9542,29.72948,25.55,0.00,100,22,0,1906,0,999999,1563,15631547,0,FALSE,0,41,3
6a4e7257326d320dd9f65edd,2026-07-08 18:52:55.531,withinA,true,9.15,3.558,6.816666667,9.15,True,6.816667,3.558,9.15,7.2,3.41368,9.92,6.816666667,3.558,9.15,applied_estimate,3.558,applied_estimate,6.816666667,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,9.15,0,withinA,0.675,30,120,31.3176,28.44734,7.2,0.00,100,22,0,498,0,999999,409,4090404,0,FALSE,0,41,3
6a4fdffab0e119efe8ae08ef,2026-07-09 20:52:58.135,withinB,true,29.95,14.979073,19.333333333,29.95,True,19.333333,14.965,23.31,28.8,14.97907,28.21,19.333333333,14.965,23.31,taximeter_distance,14.979073,applied_estimate,19.333333333,9.47,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",speed_in_limit,29.95,6.39,withinB,0.675,30,120,46.443,31.2064,28.8,0.00,100,22,0,1415,0,999999,1160,11601148,0,FALSE,0,41,3
6a4fc6c1c737923ca98467fb,2026-07-09 19:05:21.870,withinA,true,4.2,13.097,31.65,4.2,True,31.65,13.097,4.2,27.7,10.87647,3.96,31.65,13.097,4.2,applied_estimate,13.097,applied_estimate,31.65,0,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,4.2,0,withinA,0.071,30,120,24.8286,23.55914,27.7,0.00,100,22,0,2316,0,999999,1899,18991880,0,FALSE,0,30,3
