PASSENGERID,AREA_CODE,SERVICETYPE,NEIGHBOURHOODID,ACTUALDATETIME,PREVIOUSDATE,DATEDIFFERENCE,PRICECHECKFLAG,PICKUPLAT,PICKUPLONG,DESTLAT,DESTLONG,PICKUPGEOHASH,DESTGEOHASH,UNIQUEID,SERVICEFILTER,MINIMUMFARE,MAXIMUMFARE,VAT,VALUE,DISCOUNT,SURGEMULTIPLIER,SURCHARGE,RN,DISTANCE,DURATION,TRACEID,CUSTOMERSEGMENT,DISCRIMINATIONMULTIPLIER,ACTUALDISCRIMINATIONMULTIPLIER,PRICEDISCRIMINATIONENABLED,USERMETPDCRITERIA,ACTUALDATE,BASEFARE,FACTORDRIVER,DRIVERPRICE,PAYOUTENABLEDDRIVER,ADJUSTFAREDIFFERENCEDRIVER,PRICECHECKSUNIQUEID,RIDEID,PD_GROUP,REQUESTED,ACCEPTED,BOARDED,RANDOMISATION_BASESURGE,RANDOMISATION_BUCKETID,RANDOMISATION_FINALSURGE,RANDOMISATION_ISRANDOMISED,RANDOMISATION_RANDOMOFFSET,ISELIGIBLECASHRIDE,PASSENGERWALLETBALANCE,PICKUPAREACODE,DESTAREACODE
6a4d48f909bdc88b750bb053,RUH,smart,6891b651a47b6644d30c23e5,2026-07-07 21:45:12.547,2026-07-07 21:45:12.547,0,0,24.582336,46.659932,24.723106,46.827171,th35vg,th3k9s,20260707214512547,ecolite,50.53,50.53,0.58,50.53,,1,0,10,37.508,43.683333333,4F4C77C1-18E8-4DA6-8C36-77BA9C295F21,Group A,0.90,0.90,TRUE,TRUE,2026-07-07,48.82,,,TRUE,TRUE,4F4C77C1-18E8-4DA6-8C36-77BA9C295F211783460712547,6a4d49514407f7fd1e8d5665,A,2026-07-07 21:45:37.032,2026-07-07 21:45:48.348,2026-07-07 21:52:40.125,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4d4f985182db6b970a61a5,RUH,smart,6891b650ff313265af58e418,2026-07-07 22:13:41.014,2026-07-07 22:13:41.014,0,1,24.811879,46.787118,24.7703,46.764412,th3m0s,th3kbj,20260707221341014,ecolite,16.3,16.3,0.58,16.3,,1,0,10,8.71,14.783333333,5a73e83c-6ae0-41ec-bedf-215ca99ec038,Group A,0.90,0.90,TRUE,TRUE,2026-07-07,15.74,,,TRUE,TRUE,5a73e83c-6ae0-41ec-bedf-215ca99ec0381783462421014,6a4d518fc5d6742eb741940f,A,2026-07-07 22:20:47.678,2026-07-07 22:20:50.497,2026-07-07 22:28:07.226,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4d0243984d97294200f42a,RUH,smart,6891b6528351f3291d5567ec,2026-07-07 16:51:17.023,2026-07-07 16:51:17.023,0,0,24.81068,46.870291,24.701913,46.838134,th3m4s,th3k9b,20260707165117023,ecolite,26.19,26.19,0.58,26.19,,1,0,10,18.378,21.95,227a8116-36a5-4f34-9d89-880298b2434b,Group A,0.90,0.90,TRUE,TRUE,2026-07-07,25.3,,,TRUE,TRUE,227a8116-36a5-4f34-9d89-880298b2434b1783443077023,6a4d046bc5d6742eb7dae280,A,2026-07-07 16:51:39.598,2026-07-07 16:51:42.160,2026-07-07 17:21:26.904,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4b716f2959af6f9b00dc5f,RUH,smart,6891b651a47b6644d30c23e5,2026-07-06 12:18:41.876,2026-07-06 12:18:41.876,0,0,24.592391,46.63099,24.600656,46.643841,th35vh,th35vq,20260706121841876,ecolite,8.94,8.94,0.58,8.94,,1,0,10,1.606,4.066666667,A68DC141-2396-4673-99C8-C4E392AAEB51,Group A,0.90,0.90,TRUE,TRUE,2026-07-06,8.63,,,TRUE,TRUE,A68DC141-2396-4673-99C8-C4E392AAEB511783340321876,6a4b7304c5d6742eb798f57c,A,2026-07-06 12:19:00.364,2026-07-06 12:19:05.222,2026-07-06 12:30:38.474,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4b83d5cb51ac389c0d7de2,RUH,smart,6891b650ff313265af58e418,2026-07-06 15:38:11.165,2026-07-06 15:34:52.481,4,0,24.725476,46.828828,24.727585,46.807972,th3k9t,th3k9j,20260706153811165,ecolite,9.15,9.15,0.58,9.15,,1,0,10,3.198,8.266666667,1705659d-2701-4474-bc47-86d043fbbc6a,Group A,0.90,0.90,TRUE,TRUE,2026-07-06,8.84,,,TRUE,TRUE,1705659d-2701-4474-bc47-86d043fbbc6a1783352291165,6a4ba37c4407f7fd1e191df7,A,2026-07-06 15:45:48.299,2026-07-06 15:45:50.234,2026-07-06 15:50:32.861,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4e126fe67cc36a0a0488d2,RUH,smart,6891b650464f40084c6496ee,2026-07-10 00:55:45.064,2026-07-10 00:55:45.064,0,1,24.673479,46.727497,24.623833,46.755743,th3hr7,th3hpf,20260710005545064,ecolite,13.28,13.28,0.58,13.28,,0.9,1.16,10,8.688,14.666666667,ea08b86e-1dc4-4c68-a76e-7d762926a1bb,Group A,0.90,0.90,TRUE,TRUE,2026-07-10,14.26,,,TRUE,TRUE,ea08b86e-1dc4-4c68-a76e-7d762926a1bb1783644945064,6a5018ffc737923ca9e91bca,A,2026-07-10 00:56:15.722,2026-07-10 00:56:18.876,2026-07-10 01:16:38.501,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a501b7034acd515ea0d1112,RUH,smart,6891b6512b984bd05d467870,2026-07-10 01:12:29.088,2026-07-10 01:12:29.088,0,0,24.726549,46.666857,24.85143,46.830884,th3htv,th3m3s,20260710011229088,ecolite,35.12,35.12,0.58,35.12,,0.9,0,10,33.091,29.316666667,01E195CB-D709-4738-ADBA-922EEBE121A9,Group A,0.90,0.90,TRUE,TRUE,2026-07-10,37.7,,,TRUE,TRUE,01E195CB-D709-4738-ADBA-922EEBE121A91783645949088,6a501cf1b0e119efe8f45015,A,2026-07-10 01:13:04.120,2026-07-10 01:13:11.175,2026-07-10 01:19:40.552,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a50c9bf4acb0ee7e005f69f,RUH,smart,6891b6505eb33f45c82f0705,2026-07-10 13:51:05.033,2026-07-10 13:51:05.033,0,0,24.756293,46.629196,24.932082,46.787006,th3hv4,th3mbd,20260710135105033,ecolite,48.99,48.99,0.58,48.99,,0.9,0,10,41.902,32.583333333,B4A17174-C326-4C7C-B0F3-6DBAE1E159E1,Group A,0.90,0.90,TRUE,TRUE,2026-07-10,52.59,,,TRUE,TRUE,B4A17174-C326-4C7C-B0F3-6DBAE1E159E11783691465033,6a50cea8b0e119efe81cbb3d,A,2026-07-10 13:51:20.862,2026-07-10 13:51:27.582,2026-07-10 13:59:30.442,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a57f02227c73231810d0023,RUH,smart,6891b6512b984bd05d467870,2026-07-15 23:43:12.734,2026-07-15 23:43:12.734,0,1,24.773085,46.627364,24.778283,46.629808,th3hvj,th3hvn,20260715234312734,ecolite,8.94,8.94,0.58,8.94,,1,0,10,1.64,3.15,50a7ef44-4881-4390-ad84-7436ac814565,Group A,0.90,0.90,TRUE,TRUE,2026-07-15,8.63,,,TRUE,TRUE,50a7ef44-4881-4390-ad84-7436ac8145651784158992734,6a57f135c7a9562f6fb850c4,A,2026-07-15 23:44:37.781,2026-07-15 23:44:42.627,2026-07-15 23:55:50.592,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a580bde9c70329a7800589b,RUH,smart,6891b651a3c67904571bbad4,2026-07-16 01:40:15.022,2026-07-16 01:40:15.022,0,0,24.826627,46.581322,24.628884,46.709459,th3j5z,th3hng,20260716014015022,ecolite,35.96,35.96,0.58,35.96,,1,3.13,10,30.037,27.383333333,b5076b5c-0a75-4eae-8218-4932ddd1e58c,Group A,0.90,0.90,TRUE,TRUE,2026-07-16,34.74,,,TRUE,TRUE,b5076b5c-0a75-4eae-8218-4932ddd1e58c1784166015022,6a580c53c3c2a38be2c5fff8,A,2026-07-16 01:40:19.384,2026-07-16 01:40:23.653,2026-07-16 01:51:03.450,1,,1,FALSE,0,TRUE,0,RUH,RUH
